"quantile","source","stat","center","q2_5","q97_5","ci_str"
5,"GLOFAS","sigma","0.236511955671204","0.233436642137970","0.239658759068696","0.233, 0.240"
5,"NWS","sigma","0.124908497759136","0.123225518107024","0.126682584086710","0.123, 0.127"
5,"USGS","sigma","0.157833082159544","0.155710933594127","0.159961576003678","0.156, 0.160"
20,"GLOFAS","sigma","0.0274077105926860","0.0271026955165824","0.0277084233548287","0.027, 0.028"
20,"NWS","sigma","0.0190483863477945","0.0188185795215340","0.0192727207160145","0.019, 0.019"
20,"USGS","sigma","0.0130705070612010","0.0129064110180999","0.0132301776290357","0.013, 0.013"
35,"GLOFAS","sigma","0.0666464967912954","0.0659870497798669","0.0673513208514151","0.066, 0.067"
35,"NWS","sigma","0.0386265592709480","0.0382289783431376","0.0390188288086008","0.038, 0.039"
35,"USGS","sigma","0.0270374693890593","0.0267426513406307","0.0273394671900584","0.027, 0.027"
50,"GLOFAS","sigma","0.0136194236484283","0.0135218328271498","0.0137203845765576","0.014, 0.014"
50,"NWS","sigma","0.0138327244369187","0.0137125016927191","0.0139563777907848","0.014, 0.014"
50,"USGS","sigma","0.00611051527976960","0.00607602088262160","0.00614649226282956","0.006, 0.006"
65,"GLOFAS","sigma","0.0118491728862732","0.0117908483327907","0.0119081933051508","0.012, 0.012"
65,"NWS","sigma","0.0311265498439188","0.0307889243121005","0.0314693795754857","0.031, 0.031"
65,"USGS","sigma","0.0116309467186837","0.0115126798323213","0.0117513747756519","0.012, 0.012"
80,"GLOFAS","sigma","0.0236494045868206","0.0233740624777609","0.0239240332151080","0.023, 0.024"
80,"NWS","sigma","0.0199807485605744","0.0197493649801236","0.0202132513858244","0.020, 0.020"
80,"USGS","sigma","0.0125183181144155","0.0123719665894180","0.0126713492021779","0.012, 0.013"
95,"GLOFAS","sigma","0.235592507494218","0.232646805586986","0.238565632409014","0.233, 0.239"
95,"NWS","sigma","0.124633706697563","0.122968335342224","0.126430022975489","0.123, 0.126"
95,"USGS","sigma","0.157506349793071","0.155128805011092","0.159501561578615","0.155, 0.160"
